long,lat
3314398.689,-175942.7273
3315783.503,-175195.4905
3324828.212,-195733.7198
3327302.844,-202624.4156
3286356.196,-186889.8614
3289500.972,-190119.5367
3286440.799,-178404.9509
3275276.567,-180580.9952
3363771.11,-215020.918
3340953.954,-169588.5065
3359245.972,-200247.6728
3368554.508,-200586.2511
3380166.244,-132999.6936
3369994.982,-148639.4443
3374079.294,-141017.6602
3372350.503,-160792.43
3385591.956,-204772.8638
3373178.72,-177865.9545
3386327.778,-200753.313
3397158.051,-178355.9512
3268630.794,-222737.6744
3270224.889,-223720.1138
3260612.451,-203436.3459
3259753.064,-198643.8883
3259208.712,-193725.6938
3270541.036,-180260.2668
3267641.163,-178702.2905
3299383.916,-210483.2386
3296911.51,-209013.0267
3286032.256,-214787.0144
3298528.982,-199136.1597
3318297.098,-220124.5452
3323450.077,-229558.0522
3335962.388,-243665.257
3338159.834,-219626.6513
3266966.567,-237601.8241
3275019.419,-230541.6427
3274268.013,-231148.7313
3281208.783,-240163.9684
3303038.535,-213988.4027
3307110.602,-195186.8844
3314835.061,-236996.9409
3299123.428,-235602.2643
3260009.099,-275497.8401
3260781.656,-264417.1975
3268323.552,-266682.2846
3262720.842,-275210.3681
3286301.65,-254025.8512
3278324.495,-269584.7202
3286968.453,-256088.0228
3279832.874,-259187.458
3272700.634,-256989.326
3277644.333,-259755.6572
3275872.126,-261902.5777
3279102.618,-256852.292
3263237.364,-242039.9282
3260323.02,-255792.7886
3304043.267,-198417.5583
3259088.487,-254672.0177
3290704.335,-245109.0168
3277107.773,-247069.6983
3291780.795,-240112.7252
3283552.058,-240992.7747
3331469.533,-181232.4762
3331024.255,-185768.3957
3329499.178,-189228.587
3336458.872,-210948.808
3381972.96,-253913.3294
3381866.093,-238635.589
3378166.946,-235753.7621
3402206.39,-244523.0449
3426549.736,-232397.4469
3430373.561,-229242.8142
3420772.255,-236015.6533
3419987.452,-247184.4435
3348356.7,-219269.1043
3351924.489,-219193.3623
3351546.003,-220033.2088
3358584.734,-219404.9943
3364241.991,-209411.7649
3358251.889,-202631.0981
3354505.988,-216483.3792
3364962.228,-220323.9259
3259362.333,-243788.9119
3229686.783,-262155.4863
3226746.835,-277544.7013
3245764.657,-260521.0583
3343258.267,-215221.4071
3346931.81,-217114.9254
3345150.698,-215221.4071
3341365.836,-224466.4147
3339584.724,-211545.8078
3348824.242,-176241.1773
3328452.775,-165105.241
3309862.42,-157755.8008
3326560.343,-159537.4637
3311754.851,-153969.8079
3306188.877,-156976.3272
3315428.394,-170673.1441
3389678.495,-213327.9077
3385893.632,-228253.6613
3389678.495,-207758.9001
3376654.114,-211545.8078
3371088.14,-205976.8514
3270900.598,-231929.5952
3268340.25,-240507.0759
3256095.106,-233823.2881
3261661.08,-237499.3392
3280140.116,-237499.3392
3270900.598,-230035.9228
3219025.715,-276492.854
3217133.284,-267244.9405
3231838.589,-289530.0605
3229267.108,-289530.0605
3231938.776,-295101.8818
3252421.563,-291424.4548
3302515.333,-174459.3923
3310975.615,-171341.3012
3309862.42,-164771.1709
3309862.42,-168891.4012
3391459.607,-204083.4422
3423074.342,-220790.6334
3391459.607,-202190.0509
3413723.505,-228253.6613
3400810.444,-221570.3384
3404483.987,-217114.9254
3361959.941,-248082.3549
3367414.596,-235605.6061
3346931.81,-241175.4691
3358063.759,-239393.0931
3363629.734,-239393.0931
3348824.242,-261674.1805
